,Facility,Project,ModDate
273,18132003,181321-03,2020-12-18 15:00:33.070
274,18132003,181321-03,2020-12-31 10:38:27.013
275,18132003,181321-03,2021-01-04 07:54:39.930
276,18132003,181321-03,2021-01-06 11:33:39.840
277,18132003,181321-03,2021-01-06 16:17:59.840
278,18132003,181321-03,2021-01-11 10:42:58.740
279,18132003,181321-03,2021-01-12 12:27:51.333
280,18132003,181321-03,2021-01-13 11:54:45.000
281,18132003,181321-03,2021-01-14 08:59:45.037
282,18132003,181321-03,2021-01-15 11:26:42.993
283,18132003,181321-03,2021-01-15 16:44:30.120
284,18132003,181321-03,2021-01-16 16:01:22.657
285,18132003,181321-03,2021-01-18 12:27:17.830
286,18132003,181321-03,2021-01-18 13:06:44.630
287,18132003,181321-03,2021-01-20 12:25:07.077
288,18132003,181321-03,2021-01-21 14:09:56.000
289,18132003,181321-03,2021-01-22 11:47:46.510
290,18132003,191322-03,2020-04-28 17:03:02.850
291,18132003,191322-03,2020-04-28 17:03:02.850
292,18132003,191520-03,2020-04-28 17:03:05.807
293,18132003,191520-03,2020-04-28 17:03:05.807
294,18132004,181320-04,2001-04-16 09:08:02.000
295,18132004,181320-04,2020-12-15 15:30:53.073
296,18132004,181320-04,2020-12-17 07:07:31.340
297,18132004,181320-04,2020-12-17 17:31:03.180
298,18132004,181320-04,2020-12-18 14:46:54.813
299,18132004,181320-04,2020-12-23 11:26:42.843
300,18132004,181320-04,2021-01-04 09:59:21.053
301,18132004,181320-04,2021-01-05 11:22:37.883
302,18132004,181320-04,2021-01-06 12:15:41.457
303,18132004,181320-04,2021-01-07 11:12:00.010
304,18132004,181320-04,2021-01-08 17:25:16.000
305,18132004,181320-04,2021-01-11 12:22:52.190
306,18132004,181320-04,2021-01-12 10:44:19.270
307,18132004,181320-04,2021-01-13 12:07:18.777
308,18132004,181320-04,2021-01-14 12:29:15.483
309,18132004,181320-04,2021-01-15 11:36:03.350
310,18132004,181320-04,2021-01-15 17:03:46.877
311,18132004,181320-04,2021-01-17 10:56:27.443
312,18132004,181320-04,2021-01-18 10:41:17.730
313,18132004,181320-04,2021-01-19 10:38:56.933
314,18132004,181320-04,2021-01-20 14:03:58.000
315,18132004,181320-04,2021-01-21 12:28:48.447
316,18132004,181320-04,2021-01-22 12:01:35.493
317,18132005,181320-05,1999-09-27 14:35:33.000
318,18132005,181320-05,2020-12-15 15:16:46.667
319,18132005,181320-05,2020-12-17 07:31:29.850
320,18132005,181320-05,2020-12-17 20:41:34.000
321,18132005,181320-05,2020-12-19 10:16:34.973
322,18132005,181320-05,2020-12-29 15:35:47.017
323,18132005,181320-05,2021-01-04 12:21:52.440
324,18132005,181320-05,2021-01-05 08:30:40.420
325,18132005,181320-05,2021-01-06 12:01:29.683
326,18132005,181320-05,2021-01-07 12:26:52.557
327,18132005,181320-05,2021-01-08 11:46:10.063
328,18132005,181320-05,2021-01-08 17:29:54.083
329,18132005,181320-05,2021-01-11 12:20:03.743
330,18132005,181320-05,2021-01-12 11:39:20.903
331,18132005,181320-05,2021-01-13 12:04:59.350
332,18132005,181320-05,2021-01-14 12:25:46.707
333,18132005,181320-05,2021-01-15 10:37:46.913
334,18132005,181320-05,2021-01-15 14:21:06.763
335,18132005,181320-05,2021-01-17 11:01:08.387
336,18132005,181320-05,2021-01-18 12:08:58.473
337,18132005,181320-05,2021-01-19 10:49:57.700
338,18132005,181320-05,2021-01-20 11:41:11.720
339,18132005,181320-05,2021-01-21 11:02:00.000
340,18132005,181320-05,2021-01-22 11:57:39.973
341,18132005,190004-01,2020-11-18 06:37:33.767
342,18132005,190004-01,2020-11-19 11:59:24.957
343,18132100,181321-00,2013-01-31 06:45:41.007
344,18132100,181321-00,2020-11-12 08:34:17.797
345,18132100,181321-00,2020-12-17 08:19:06.530
346,18133006,201332-06,1999-10-21 18:20:42.000
347,18133006,201332-06,2020-12-15 17:08:14.000
348,18133006,201332-06,2020-12-17 07:45:44.697
349,18133006,201332-06,2020-12-17 18:27:25.487
350,18133006,201332-06,2020-12-18 16:49:13.560
351,18133006,201332-06,2020-12-29 11:29:00.000
352,18133006,201332-06,2021-01-04 12:35:55.000
353,18133006,201332-06,2021-01-05 12:34:15.000
354,18133006,201332-06,2021-01-06 11:06:53.000
355,18133006,201332-06,2021-01-07 15:17:22.000
356,18133006,201332-06,2021-01-08 12:32:00.000
357,18133006,201332-06,2021-01-08 13:48:12.797
358,18133006,201332-06,2021-01-11 08:15:56.000
359,18133006,201332-06,2021-01-12 11:27:41.930
360,18133006,201332-06,2021-01-13 10:51:07.267
361,18133006,201332-06,2021-01-14 09:52:38.237
362,18133006,201332-06,2021-01-14 17:00:56.950
363,18133006,201332-06,2021-01-15 09:16:32.000
364,18133006,201332-06,2021-01-18 12:32:09.240
365,18133006,201332-06,2021-01-19 08:52:18.000
366,18133006,201332-06,2021-01-20 11:27:42.077
367,18133006,201332-06,2021-01-21 10:17:39.503
368,18133006,201332-06,2021-01-22 12:16:02.437
369,18133006,201337-06,2015-11-23 15:37:42.000
370,18133006,201337-06,2020-08-03 18:54:02.000
371,18133007,191331-07,2000-08-14 15:44:38.000
372,18133007,191331-07,2020-12-15 14:59:43.800
373,18133007,191331-07,2020-12-17 07:54:13.247
374,18133007,191331-07,2020-12-17 17:15:20.877
375,18133007,191331-07,2020-12-18 16:49:38.847
376,18133007,191331-07,2020-12-23 10:04:08.397
377,18133007,191331-07,2021-01-07 20:31:48.943
378,18133007,191331-07,2021-01-11 12:35:37.030
379,18133007,191331-07,2021-01-13 10:28:46.137
380,18133007,191331-07,2021-01-17 21:27:06.910
381,18133007,191331-07,2021-01-20 07:34:52.193
382,18133007,191331-07,2021-01-20 14:14:53.117
383,18133007,191331-07,2021-01-22 12:35:21.420
384,18133007,201332-07,2000-08-29 11:12:46.000
385,18133007,201332-07,2020-12-15 13:38:26.910
386,18133007,201332-07,2020-12-17 06:54:56.483
387,18133007,201332-07,2020-12-18 14:22:01.703
388,18133007,201332-07,2020-12-28 15:19:24.517
389,18133007,201332-07,2021-01-05 09:49:55.097
390,18133007,201332-07,2021-01-07 11:26:51.337
391,18133007,201332-07,2021-01-14 15:52:26.820
392,18133007,201332-07,2021-01-18 22:27:55.013
393,18133007,201332-07,2021-01-20 11:36:16.000
394,18133007,201332-07,2021-01-21 11:32:46.000
395,18133007,201332-07,2021-01-22 12:20:09.000
396,18133007,201334-07,2003-10-12 15:13:00.000
397,18133007,201334-07,2020-09-03 16:51:57.000
398,18133008,181330-08,2011-08-09 07:58:50.000
399,18133008,181330-08,2020-12-15 14:18:09.467
400,18133008,181330-08,2020-12-16 23:04:20.767
401,18133008,181330-08,2020-12-17 17:14:14.020
402,18133008,181330-08,2020-12-18 09:56:11.667
403,18133008,181330-08,2020-12-22 14:28:56.147
404,18133008,181330-08,2021-01-04 16:43:19.010
405,18133008,181330-08,2021-01-06 12:03:10.157
406,18133008,181330-08,2021-01-07 12:35:03.423
407,18133008,181330-08,2021-01-08 12:01:21.810
408,18133008,181330-08,2021-01-08 15:17:02.503
409,18133008,181330-08,2021-01-11 13:30:46.000
410,18133008,181330-08,2021-01-12 07:18:50.327
411,18133008,181330-08,2021-01-13 12:17:52.883
412,18133008,181330-08,2021-01-14 14:55:06.000
413,18133008,181330-08,2021-01-15 12:40:09.550
414,18133008,181330-08,2021-01-16 10:36:42.850
415,18133008,181330-08,2021-01-17 10:22:55.200
416,18133008,181330-08,2021-01-18 11:40:59.917
417,18133008,181330-08,2021-01-19 10:55:58.703
418,18133008,181330-08,2021-01-20 12:38:42.420
419,18133008,181330-08,2021-01-21 15:27:18.000
420,18133008,181330-08,2021-01-22 12:21:28.197
421,18133008,201332-08,2011-07-01 14:18:12.000
422,18133008,201332-08,2020-12-15 15:57:18.273
423,18133008,201332-08,2020-12-16 17:29:36.157
424,18133008,201332-08,2020-12-17 21:18:51.897
425,18133008,201332-08,2020-12-18 13:26:28.380
426,18133008,201332-08,2020-12-22 13:05:14.730
427,18133008,201332-08,2021-01-04 12:01:10.463
428,18133008,201332-08,2021-01-05 12:31:42.757
429,18133008,201332-08,2021-01-06 10:36:08.347
430,18133008,201332-08,2021-01-07 12:25:07.947
431,18133008,201332-08,2021-01-08 11:58:33.333
432,18133008,201332-08,2021-01-08 15:01:59.013
433,18133008,201332-08,2021-01-11 12:34:09.000
434,18133008,201332-08,2021-01-12 12:40:10.667
435,18133008,201332-08,2021-01-13 10:33:47.230
436,18133008,201332-08,2021-01-14 12:10:34.157
437,18133008,201332-08,2021-01-15 12:38:18.703
438,18133008,201332-08,2021-01-15 16:05:42.497
439,18133008,201332-08,2021-01-17 08:30:18.180
440,18133008,201332-08,2021-01-18 11:25:56.530
441,18133008,201332-08,2021-01-19 11:03:32.713
442,18133008,201332-08,2021-01-20 09:07:39.883
443,18133008,201332-08,2021-01-21 12:32:44.600
444,18133008,201332-08,2021-01-22 11:34:26.417
445,18133008,201333-08,2021-01-04 09:44:19.107
446,18133008,201333-08,2021-01-11 12:33:23.043
447,18133009,201332-09,2001-03-06 09:44:48.000
448,18133009,201332-09,2020-12-15 14:18:58.423
449,18133009,201332-09,2020-12-17 06:34:38.123
450,18133009,201332-09,2020-12-17 17:12:36.853
451,18133009,201332-09,2020-12-18 14:03:47.460
452,18133009,201332-09,2020-12-29 15:33:29.033
453,18133009,201332-09,2021-01-02 16:05:00.583
454,18133009,201332-09,2021-01-04 12:41:05.503
455,18133009,201332-09,2021-01-05 12:03:48.453
456,18133009,201332-09,2021-01-06 12:21:30.403
457,18133009,201332-09,2021-01-07 12:36:33.400
458,18133009,201332-09,2021-01-08 12:37:56.947
459,18133009,201332-09,2021-01-08 14:16:01.703
460,18133009,201332-09,2021-01-11 12:37:12.547
461,18133009,201332-09,2021-01-12 11:52:17.807
462,18133009,201332-09,2021-01-12 16:00:57.710
463,18133009,201332-09,2021-01-14 08:16:46.273
464,18133009,201332-09,2021-01-15 10:49:52.997
465,18133009,201332-09,2021-01-15 15:36:29.660
466,18133009,201332-09,2021-01-18 12:39:04.807
467,18133009,201332-09,2021-01-19 11:47:21.947
468,18133009,201332-09,2021-01-20 11:29:52.447
469,18133009,201332-09,2021-01-21 12:36:26.910
470,18133009,201332-09,2021-01-21 16:01:52.653
471,18133010,181330-10,2020-08-25 15:38:37.080
472,18133010,181330-10,2020-12-15 14:18:35.733
473,18133010,181330-10,2020-12-17 17:12:51.457
474,18133010,181330-10,2020-12-19 09:38:41.470
475,18133010,181330-10,2021-01-07 18:30:15.587
476,18133010,181330-10,2021-01-17 19:22:17.510
477,19000100,190001-00,2020-03-30 08:13:52.710
478,19000100,190001-00,2020-08-06 12:19:58.013
479,19000300,190003-00,2020-11-18 06:37:34.263
480,19000300,190003-00,2020-11-19 11:59:29.363
481,19000700,190007-00,2019-02-10 16:21:27.000
482,19000700,190007-00,2020-10-16 15:46:11.473
483,19000700,190007-00,2020-12-16 11:44:28.860
484,19000700,190007-00,2021-01-11 19:20:21.717
485,19100200,191002-00,2020-11-18 06:37:34.473
